1	7 
2	8 
3	11 
4	1 
5	6 
6	10 
7	3 
8	8 
9	5 
10	6 
11	11 
12	8 
13	11 
14	9 
15	7 
16	9 
17	6 
18	2 
19	11 
20	2 
21	5 
22	9 
23	9 
24	7 
25	9 
26	10 
27	11 
28	5 
29	9 
30	5 
31	2 
32	5 
33	9 
34	3 
35	8 
36	1 
37	6 
38	9 
39	7 
40	9 
41	9 
42	2 
43	6 
44	5 
45	7 
46	4 
47	3 
48	6 
49	7 
50	8 
51	3 
52	8 
53	10 
54	2 
55	7 
56	5 
57	3 
58	4 
59	5 
60	1 
61	9 
62	9 
63	7 
64	4 
65	2 
66	9 
67	3 
68	7 
69	1 
70	3 
71	10 
72	3 
73	1 
74	3 
75	5 
76	2 
77	9 
78	7 
79	9 
80	9 
81	1 
82	9 
83	9 
84	3 
85	3 
86	9 
87	2 
88	9 
89	4 
90	5 
91	5 
92	6 
93	9 
94	7 
95	9 
96	9 
97	11 
98	8 
99	2 
100	4 
101	8 
102	8 
103	3 
104	5 
105	5 
106	4 
107	9 
108	1 
109	9 
110	10 
111	2 
112	5 
113	7 
114	9 
115	10 
116	3 
117	10 
118	1 
119	4 
120	3 
121	8 
122	5 
123	1 
124	11 
125	9 
126	9 
127	7 
128	10 
129	4 
130	4 
131	3 
132	8 
133	9 
134	5 
135	7 
136	8 
137	5 
138	2 
139	10 
140	5 
141	7 
142	5 
143	8 
144	11 
145	1 
146	5 
147	7 
148	7 
149	9 
150	1 
151	9 
152	8 
153	9 
154	9 
155	3 
156	5 
157	5 
158	5 
159	4 
160	10 
161	3 
162	10 
163	8 
164	2 
165	9 
166	2 
167	8 
168	5 
169	5 
170	6 
171	5 
172	7 
173	9 
174	1 
175	5 
176	11 
177	1 
178	7 
179	9 
180	5 
181	10 
182	4 
183	8 
184	5 
185	10 
186	7 
187	8 
188	9 
189	10 
190	6 
191	1 
192	6 
193	3 
194	5 
195	8 
196	6 
197	5 
198	7 
199	8 
200	5 
201	9 
202	6 
203	11 
204	7 
205	3 
206	11 
207	9 
208	2 
209	9 
210	4 
211	6 
212	7 
213	1 
214	7 
215	9 
216	6 
217	5 
218	6 
219	9 
220	3 
221	9 
222	5 
223	1 
224	9 
225	6 
226	7 
227	5 
228	6 
229	7 
230	11 
231	1 
232	2 
233	5 
234	5 
235	5 
236	9 
237	8 
238	2 
239	11 
240	6 
241	10 
242	7 
243	9 
244	3 
245	1 
246	8 
247	9 
248	3 
249	3 
250	4 
251	8 
252	9 
253	7 
254	10 
255	3 
256	9 
257	3 
258	10 
259	7 
260	7 
261	6 
262	5 
263	11 
264	5 
265	4 
266	7 
267	9 
268	5 
269	3 
270	3 
271	7 
272	8 
273	9 
274	9 
275	1 
276	5 
277	5 
278	7 
279	4 
280	5 
281	7 
282	9 
283	5 
284	5 
285	3 
286	7 
287	5 
288	3 
289	6 
290	1 
291	1 
292	2 
293	4 
294	9 
295	7 
296	9 
297	2 
298	5 
299	9 
300	4 
301	7 
302	7 
303	6 
304	3 
305	9 
306	4 
307	10 
308	5 
309	8 
310	11 
311	2 
312	6 
313	5 
314	9 
315	11 
316	1 
317	4 
318	4 
319	1 
320	10 
321	7 
322	2 
323	7 
324	5 
325	4 
326	1 
327	3 
328	2 
329	3 
330	2 
331	3 
332	10 
333	4 
334	4 
335	6 
336	2 
337	3 
338	7 
339	5 
340	8 
341	7 
342	3 
343	5 
344	9 
345	10 
346	5 
347	6 
348	2 
349	9 
350	8 
351	8 
352	10 
353	7 
354	7 
355	9 
356	8 
357	5 
358	2 
359	6 
360	6 
361	9 
362	10 
363	5 
364	5 
365	1 
366	7 
367	9 
368	11 
369	9 
370	2 
371	10 
372	2 
373	3 
374	11 
375	4 
376	1 
377	9 
378	3 
379	6 
380	4 
381	7 
382	10 
383	5 
384	7 
385	7 
386	7 
387	5 
388	7 
389	5 
390	3 
391	6 
392	1 
393	5 
394	5 
395	10 
396	7 
397	5 
398	10 
399	6 
400	2 
401	2 
402	3 
403	6 
404	1 
405	3 
406	2 
407	10 
408	4 
409	9 
410	8 
411	5 
412	4 
413	6 
414	2 
415	4 
416	9 
417	1 
418	8 
419	6 
420	5 
421	3 
422	9 
423	2 
424	1 
425	6 
426	2 
427	9 
428	8 
429	3 
430	5 
431	11 
432	11 
433	9 
434	10 
435	9 
436	9 
437	3 
438	9 
439	7 
440	7 
441	10 
442	3 
443	8 
444	5 
445	4 
446	10 
447	6 
448	9 
449	9 
450	4 
451	7 
452	5 
453	11 
454	5 
455	7 
456	9 
457	11 
458	7 
459	7 
460	4 
